Tyson Griffin 
Chad Griggs 
Josh Grispi 
Kendall Grove 
Neil Grove 
Vik Grujic 
Fabrício Guerreiro 
Shannon Gugerty 
Clay Guida 
Jason Guida 
Melvin Guillard 
Marcelo Guimarães 
John Gunderson 
Fabio Gurgel 
Jorge Gurgel 
Alexander Gustafsson 
Mike Guymon 
Keith Hackney 
Tim Hague 
Rich Hale 
Mark Hall 
Uriah Hall 
Dennis Hallman 
Piotr Hallmann 
Tony Halme 
Brandon Halsey 
Kazuhiro Hamanaka 
Matt Hamill 
Anthony Hamilton 
Anthony Hamlett 
Jared Hamman 
Volk Han 
Joachim Hansen 
Antoni Hardonk 
Dan Hardy 
Gerald Harris 
Phil Harris 
Walt Harris 
Dale Hartt 
Clay Harvison 
Lee Hasdell 
Carlton Haselrig 
Chris Haseman 
Daiki Hata 
John Hathaway 
Rick Hawn 
Tomoaki Hayama 
Mike Hayes 
Josh Haynes 
Dustin Hazelett 
James Head 
Pat Healy 
Ryan Healy 
David Heath 
Jake Hecht 
Nick Hein 
Marcin Held 
Benson Henderson 
Dan Henderson 
Johny Hendricks 
Dave Herman 
Ed Herman 
Heath Herring 
Jared Hess 
Jon Hess 
Clint Hester 
Jimy Hettes 
Conor Heun 
Marcus Hicks 
Jay Hieron 
Jason High 
Corey Hill 
Branden Lee Hinkle 
Hatsu Hioki 
Kuniyoshi Hironaka 
Mizuto Hirota 
Matt Hobar 
Bobby Hoffman 
Sam Hoger 
Mark Holata 
Chris Holdsworth 
Roger Hollett 
Max Holloway 
Patrick Holohan 
Mark Holst 
Mark Hominick 
Chris Honeycutt 
Satoshi Honma 
Darrell Horcher 
Kyoji Horiguchi 
Jeremy Horn 
Dan Hornbuckle 
Chris Horodecki 
Matt Horwich 
Jeff Hougland 
Harold Howard 
John Howard 
Tom Howard 
Shane Howell 
Roger Huerta 
Mark Hughes 
Matt Hughes 
Matt Hume 
Mark Hunt 
Solomon Hutcherson 
Al Iaquinta 
Alexey Ignashov 
Fabiano Iha 
Hisao Ikeda 
Seichi Ikemoto 
Junji Ikoma 
Mikhail Ilyukhin 
Toby Imada 
Masakazu Imanari 
Brad Imes 
Guto Inocente 
Egan Inoue 
Enson Inoue 
Takeshi Inoue 
James Irvin 
Mitsuhiro Ishida 
Satoshi Ishii 
Yoshimasa Ishikawa 
Shintaro Ishiwatari 
Takashi Ishizaki 
Tokimitsu Ishizawa 
Wallid Ismail 
Leandro Issa 
Junji Ito 
Takenori Ito 
Yuji Ito 
Blagoy Ivanov 
Hiroshi Izumi 
Yves Jabouin 
Damon Jackson 
Jeremy Jackson 
Kevin Jackson 
Quinton \"Rampage\" Jackson 
Dustin Jacoby 
Keith Jardine 
Antoine Jaoude 
Dave Jansen 
Bubba Jenkins 
Trent Jenkins 
Steve Jennum 
Ryan Jensen 
Maciej Jewtuszko 
Ronald Jhun 
Art Jimmerson 
Ryan Jimmo 
Li Jingliang 
Anthony Johnson 
DaMarques Johnson 
Demetrious Johnson 
Lavar Johnson 
Michael Johnson 
Wesley Johnson 
Brian Johnston 
Jon \"Bones\" Jones 
Marcus Jones 
Nathan Jones 
Paul Jones 
Kevin Jordan 
Shawn Jordan 
Ivan Jorge 
Scott Jorgensen 
Krzysztof Jotko 
Alan Jouban 
Jesse Juarez 
Bu Kyung Jung 
Chan Sung Jung 
Myles Jury 
Hideki Kadowaki 
Martin Kampmann 
Masanori Kanehara 
Denis Kang 
Hiroyuki Kanno 
Kyung Ho Kang 
Georgi Karakhanyan 
Alex Karalexis 
Joop Kasteel 
Tetsuji Kato 
Yukio Kawabe 
Kenji Kawaguchi 
Yusuke Kawaguchi 
Tatsuya Kawajiri 
Ryo Kawamura 
Chris Kelades 
Daniel Kelly 
Paul Kelly 
Tim Kennedy 
Mark Kerr 
Will Kerr 
Ron Keslar 
Rustam Khabilov 
Mamed Khalidov 
Sergei Kharitonov 
Magomedrasul \"Frodo\" Khasbulaev 
Ferrid Kheder 
Akira Kikuchi 
Katsunori Kikuno 
Sanae Kikuta 
Dong Hyun Kim 
Jong Man Kim 
Min Soo Kim 
Rob Kimmons 
Dustin Kimura 
Koichiro Kimura 
Taiei Kin 
Kyle Kingsbury 
Koji Kitao 
Satoru Kitaoka 
Kevin Knabjian 
Fatih Kocamis 
Erik Koch 
Junya Kodo 
Toru Koga 
Brad Kohler 
Tsuyoshi Kohsaka 
Hiroyuki Kojima 
Naoto Kojima 
Shinichi Kojima 
John Kolosci 
Yuki Kondo 
Cheick Kongo 
Masayuki Kono 
Cole Konrad 
Andrei Kopylov 
Andrey Koreshkov 
Josh Koscheck 
Naoyuki Kotani 
James Krause 
Pascal Krauss 
Emil Kristev 
Jörgen Kruth 
Nikita Krylov 
Misaki Kubota 
Alexei Kudin 
Michael Kuiper 
Anton Kuivanen 
Kiichi Kunimoto 
Kiuma Kunioku 
Masakazu Kuramochi 
Eldar Kurtanidze 
Kazuhiro Kusayanagi 
Takuya Kuwabara 
Bae Young Kwon 
Mike Kyle 
Achmed Labasanov 
Ryan LaFlare 
Tim Lajcik 
Ricardo Lamas 
Jason Lambert 
Chad Laprise 
Anthony Lapsley 
Lorenz Larkin 
Jeremy Larsen 
Brock Larson 
Bobby Lashley 
Ilir Latifi 
Ole Laursen 
Dan Lauzon 
Joe Lauzon 
Muhammed \"King Mo\" Lawal 
Robbie Lawler 
Tom Lawlor 
Justin Lawrence 
Eric Lawson 
Jani Lax 
Cung Le 
Jérôme Le Banner 
Chris Leben 
Vaughan Lee 
Dave Legeno 
Ricky Legere 
Thales Leites 
Jesse Lennox 
Nik Lentz 
Anthony Leone 
Fabio Leopoldo 
Kimo Leopoldo 
Brock Lesnar 
Justin Levens 
Marcus LeVesseur 
Derrick Lewis 
Jess Liaudin 
Chuck \"The Iceman\" Liddell 
Jushin Thunder Liger 
Zach Light 
Scott Lighty 
Chris Liguori 
Hyun Gyu Lim 
Daniel Lima 
Dhiego Lima 
Douglas Lima 
Rodrigo Lima 
Matt Lindland 
Jake Lindsey 
John Lineker 
Philipe Lins 
Dean Lister 
Abner Lloveras 
John Lober 
David Loiseau 
Hector Lombard 
Jan Lomulder 
Federico Lopez 
Nate Loughran 
Ian Loveland 
Waylon Lowe 
Chris Lozano 
Duane Ludwig 
Alexandru Lungu 
Travis Lutter 
Chris Lytle 
William Macario 
Jason MacDonald 
Rob MacDonald 
Rory MacDonald 
Gustavo Machado 
Murad Machaev 
Lyoto Machida 
War Machine 
Anthony Macias 
Reza Madadi 
Jon Madsen 
Akira Maeda 
Yoshiro Maeda 
Leonardo Mafra 
Caio Magalhaes 
Vinicius Magalhães 
Vinny Magalhães 
Neil Magny 
Rashid Magomedov 
Ruslan Magomedov 
John Maguire 
Demian Maia 
Eduardo Maiorino 
John Makdessi 
Islam Makhachev 
Zach Makovsky 
Nazareno Malegarie 
Fábio Maldonado 
Nick Mamalis 
Melvin Manhoef 
Ronnie Mann 
Andre Mannaart 
Jimi Manuwa 
Cristiano Marcello 
Ronny Markes 
Rory Markham 
Nate Marquardt 
Carmelo Marrero 
John Marsh 
Doug Marshall 
Eliot Marshall 
Terry Martin 
Tony Martin 
Alonzo Martinez 
Danny Martinez 
Henry Martinez 
Jesus Martinez 
Poppies Martinez 
Rad Martinez 
Ryan Martinez 
Will Martinez 
Adriano Martins 
Lucas Martins 
Wágner \"Zuluzinho\" da Conceição Martins 
Bristol Marunde 
Mike Massenzio 
Jameel Massouh 
Jorge Masvidal 
Daijiro Matsui 
Hiroaki Matsutani 
A.J. Matthews 
Jake Matthews 
Vladimir Matyushenko 
Gray Maynard 
Ricardo Mayorga 
Ian McCall 
Charles McCarthy 
Jacob McClintock 
Sean McCorkle 
Kris McCray 
Tamdan McCrory 
Rob McCullough 
Justin McCully 
Robert \"Bubba\" McDaniel 
Michael McDonald 
Michael McDonald 
Adam McDonough 
Drew McFedries 
Liam McGeary 
Court McGee 
Gan McGee 
Conor McGregor 
Antonio McKee 
Cody McKenzie 
Tim McKenzie 
James McSweeney 
Tim Means 
Yancy Medeiros 
Derrick Mehmen 
Jordan Mein 
Brian Melancon 
Gilbert Melendez 
Fabio Mello 
Chad Mendes 
Ivan Menjivar 
Dave Menne 
Ray Mercer 
Jeremiah Metcalf 
Yaotzin Meza 
Guy Mezger 
David Michaud 
Thiago Michel 
Taka Michinoku 
Zach Micklewright 
Pat Miletich 
Cole Miller 
Dan Miller 
Henry \"Sentoryu Henri\" Miller 
Jason \"Mayhem\" Miller 
Jim Miller 
Micah Miller 
Phillip Miller 
Che Mills 
Vitaly Minakov 
Ikuhisa Minowa 
Stipe Miocic 
Frank Mir 
Mario Miranda 
Vitor Miranda 
Rasul Mirzaev
Kazuo Misaki 
Dokonjonosuke Mishima 
David Mitchell 
Felix Mitchell 
Matt Mitrione 
Eiji Mitsuoka 
Hiromitsu Miura 
Takeshi Miyanaga 
Kazuyuki Miyata 
Takeya Mizugaki 
Eiji Mizuno 
Tatsuya Mizuno 
Steve Mocco 
Nate Mohr 
Hidetaka Monma 
Jeff Monson 
Darrell Montague 
Augusto Montaño 
James Moontasri 
Homer Moore 
Nate Moore 
Marlon Moraes 
Sergio Moraes 
John Moraga 
Ricardo Morais 
Christian Morecraft 
Joe Moreira 
Sammy Morgan 
Remigijus Morkevicius 
Johnnie Morton 
Robson Moura 
Gegard Mousasi 
Christian M'Pumbu 
Mike Mucitelli 
Quinn Mulhern 
Pedro Munhoz 
Mark Muñoz 
Kazunari Murakami 
Ryuichi Murata 
Shinya Murofushi 
Lee Murray 
Nico Musoke 
Katsuhiko Nagata 
Yuji Nagata
Andrews Nakahara 
Yuki Nakai 
Daisuke Nakamura 
Hiroshi Nakamura 
Kazuhiro Nakamura 
Keita Nakamura 
Shinsuke Nakamura 
Jutaro Nakao 
Yoshihiro \"Kiss\" Nakao 
Takumi Nakayama 
Tyson Nam 
Yui Chul Nam 
Yasuhito Namekawa 
Yodsanan Sor Nanthachai 
Jadamba Narantungalag 
Antz Nansen 
Tomasz Narkun 
Masayuki Naruse 
Roger Narvaez 
Pawel Nastula 
Rafael Natal 
Marcio Navarro 
Renê Nazare 
Dustin Neace 
Stanislav Nedkov 
Josh Neer 
Steve Nelmark 
Gunnar Nelson 
Roy Nelson 
Shane Nelson 
Viktor Nemkov 
Antonio Braga Neto 
Mario Neto 
Nick Newell 
Carlos Newton 
Emanuel Newton 
Alain Ngalani 
Tom Niinimäki 
Ramsey Nijem 
Hans Nijman 
Mats Nilsson 
Jack Nilson 
Yosuke Nishijima 
Akiyo Nishiura 
Takashi Nishizawa 
Anthony Njokuani 
Jacob Noe 
Alexandre Franca Nogueira 
Antônio Rodrigo \"Minotauro\" Nogueira 
Antônio Rogério \"Minotouro\" Nogueira 
Luis Nogueira 
Kyle Noke 
Kimihito Nonaka 
KJ Noons 
Sage Northcutt Legacy
Jan Nortje 
Phillipe Nover Combat Zone
Diego Nunes 
Khabib Nurmagomedov 
Jake O'Brien 
Sean O'Connell 
Naoya Ogawa 
Andy Ogle 
Carl Ognibene 
Tomonori Ohara 
Dom O'Grady 
Kenji Ogusu 
Sean O'Haire 
Michiyoshi Ohara 
Masahiro Oishi 
Takayuki \"Giant Ochiai\" Okada 
Yushin Okami 
Koetsu Okazaki 
Mamoru Okochi 
Yasunori Okuda 
Taisuke Okuno 
Alexey Oleinik 
Charles Oliveira 
Rafaello Oliveira 
Bobby Ologun 
Andy Ologun 
Brian Olsen 
Casey Olson 
Daniel Omielańczuk 
Michihiro Omigawa 
Chuck O'Neil 
Masaya Onodera 
Sam Oropeza 
Brian Ortega 
Dustin Ortiz 
Jorge Ortiz 
Tito Ortiz 
Kenji Osawa 
Shigeki Osawa 
Nick Osipczak 
Alexander Otsuka 
Isamu Osugi 
John Ott 
Alistair Overeem 
Valentijn Overeem 
